"EMPLID","ACAD_CAREER","TERM","TERM_DESCR","FALL_COHORT_DESCR","CLASS_NBR","CLASS_NBR_STR","STDNT_ENRL_STATUS","CRSE_GRADE_OFF","CRSE_GRADE_MODIFIED","DFW_FLAG","TERM_TYPE","CLASS_DESCR","SUBJECT","DESCR_SUBJECT_MISMATCH"
"10000000000",UGRD,"1160",Summer Semester 2026,,55684,"55684",WL,A,N,1,SUMMER,Advanced CS,CS,0
"10000000001",GRAD,"0970",Spring Semester 2020,,57837,"57837",WL,A,N,1,SPRING,Intro to HIST,HIST,0
"10000000002",LAW,"0850",Spring Semester 2016,,48433,"48433",WL,P,N,1,SPRING,Intro to PHYS,PHYS,0
"10000000003",GRAD,"0960",Fall Semester 2019,,48348,"48348",WL,N,N,1,FALL,Survey of PSYC,PSYC,0
"10000000004",GRAD,"1030",Spring Semester 2022,,42549,"42549",EN,N,N,0,SPRING,Advanced ECON,ECON,0
"10000000005",GRAD,"1160",Summer Semester 2026,,40572,"40572",DR,A,N,0,SUMMER,Special Topics in ENGL,CS,1
"10000000006",LAW,"1160",Summer Semester 2026,,43753,"43753",WL,A,N,1,SUMMER,Principles of MATH,MATH,0
"10000000007",LAW,"0900",Fall Semester 2017,,49108,"49108",DR,C,N,0,FALL,Survey of PSYC,PSYC,0
"10000000008",LAW,"0960",Fall Semester 2019,Fall Semester 2019,38965,"38965",EN,C,C,0,FALL,Survey of CS,CS,0
"10000000009",UGRD,"1060",Spring Semester 2023,,50382,"50382",EN,,N,0,SPRING,Workshop: CHEM,CHEM,0
"10000000010",LAW,"0850",Spring Semester 2016,,55620,"55620",WL,B,N,1,SPRING,Special Topics in ENGL,ENGL,0
"10000000011",GRAD,"0960",Fall Semester 2019,,54378,"54378",DR,N,N,0,FALL,Survey of CHEM,CHEM,0
"10000000012",UGRD,"0960",Fall Semester 2019,,50089,"50089",DR,B,N,0,FALL,Special Topics in PSYC,PSYC,0
"10000000013",LAW,"0880",Spring Semester 2017,,35566,"35566",DR,B,N,0,SPRING,Workshop: ENGL,ENGL,0
"10000000014",GRAD,"0900",Fall Semester 2017,,38794,"38794",WL,,N,1,FALL,Lab in ART,ART,0
"10000000015",LAW,"0990",Fall Semester 2020,,35310,"35310",DR,C,N,0,FALL,Fundamentals of PHYS,PHYS,0
"10000000016",LAW,"1160",Summer Semester 2026,,33655,"33655",WL,C,N,1,SUMMER,Principles of PSYC,PSYC,0
"10000000017",GRAD,"1140",Fall Semester 2025,,32851,"32851",WL,A,N,1,FALL,Advanced PSYC,PHYS,1
